name,clalit,clalit_treatments,harel,harel_treatments
קליינר אולג,True,"בקע - הרניה ילדים עד גיל 15
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
בקע מפשעתי + בקע טבורי בחתך
אשך - הידרוצל/וריקוצל + בקע מפשעתי
פין - תיקון ברית
אשך - כריתה והשתלת תותב
אשך - השתלת תותב
שופכה - הרחבת פתח
אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
וריד הזרע - וריקוצלה בלאפ צד 1
אשך טמיר - דו צדדי
אשך טמיר - חד צדדי
פי טבעת - הרחבה
בקע - הרניה ילדים דו""צ עד גיל 15
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
שד - הוצאת גוש
בלוטות לימפה/בית שחי - כריתה
בקע חוזר בדופן הבטן/צלקת ניתוח
הוצאת גוש
מפשעה - כריתת גוש
",,
ביטרמן אריה,True,"בקע - הרניה מפשעתי בחתך / חוזר
בקע מפשעתי בלאפ' חד צדדי/דו""צ
בקע - הרניה מפשעתי בחתך - דו צדדי
פילונידל - סינוס/פיסטולקטומי
כיס מרה בלאפ' + בקע טבורי בחתך
כיס מרה - כריתה בלפרוסקופ
מעי גס ורקטום כריתה מלאה בחתך
שד - כריתה
אשך - הידרוצל/וריקוצל + בקע מפשעתי
בקע חוזר בדופן הבטן + טבורי
טחורים/פילונידל סינוס + פרי אנאל
אשכים - תיקון הידרוצלה
שדיים - כריתה
טחורים + פיסטולה(פילונידל סינוס)
מפשעה - כריתת גוש
שד - כריתה
אשך - הידרוצל/וריקוצל + בקע מפשעתי
בקע חוזר בדופן הבטן + טבורי
טחורים/פילונידל סינוס + פרי אנאל
אשכים - תיקון הידרוצלה
שדיים - כריתה
שד - כריתה חלקית + בלוטות
טחורים - ניתוח בשימוש דופלר
בלוטת יותרת המגן - כריתה
בלוטת המגן - כריתה מלאה / חלקית
",True,"כירורגיה   כללית
"
ארליך ירון,True,"ערמונית - פרוסטטה סגורה T.U.R.P
שלפוחית השתן - הסרת גידול TURT
ציסטוסקופיה אבחנתית
כליה/שופכן - ריסוק אבנים בלייזר
ערמונית - פרוסטטה סגורה T.U.R.P
שלפוחית השתן - הסרת גידול TURT
ציסטוסקופיה אבחנתית
ערמונית - פרוסטטה סגורה T.U.R.P
שלפוחית השתן - הסרת גידול TURT
ציסטוסקופיה אבחנתית
כליה/שופכן - ריסוק אבנים בלייזר
ערמונית - פרוסטטה סגורה T.U.R.P
שלפוחית השתן - הסרת גידול TURT
ציסטוסקופיה אבחנתית
ערמונית - פרוסטטה סגורה T.U.R.P
שלפוחית השתן - הסרת גידול TURT
ציסטוסקופיה אבחנתית
כליה/שופכן - ריסוק אבנים בלייזר
",True,"אורולוגיה
אורולוגיה
"
חמצני יניב,True,"צוואר - ביתור
שקד שלישי + כפתורים - כריתה
שקדים + שקד שלישי + כפתורים
שקדים + כפתורים
שקדים עם אלקטרודה +  + ש.שלישי
שקדים באלקטרודה + שלישי + כפתורים
שקדים עם שימוש באלקטרודה
שקדים עם אלקטורדה +  + כפתורים
בלוטת יותרת המגן - כריתה
שקדים - כריתה
שקד שלישי - כריתה
בלוטת המגן - כריתה מלאה / חלקית
כפתורים
שקדים + שקד שלישי
לשון - כריתת הממברנה (הפרדה)
שקדים עם אלקטרודה +  + ש.שלישי
שקדים באלקטרודה + שלישי + כפתורים
שקדים עם שימוש באלקטרודה
שקדים - כריתה
שקד שלישי - כריתה
כפתורים
גרון לרינגוסקופיה +  - הוצאת גוש
צוואר - הוצאת ציסטה
שקדים באלקטרודה + שלישי + כפתורים
שקדים עם שימוש באלקטרודה
שקדים עם אלקטורדה +  + כפתורים
בלוטת יותרת המגן - כריתה
שקדים - כריתה
שקד שלישי - כריתה
בלוטת המגן - כריתה מלאה / חלקית
כפתורים
גרון לרינגוסקופיה +  - הוצאת גוש
צוואר - הוצאת ציסטה
שקד שלישי + כפתורים - כריתה
בלוטת הרוק - פרוטיס - כריתה
בלוטת הרוק - תת ליסתית - כריתה
שקדים + שקד שלישי + כפתורים
ציסטה טירוגליסואלית
שקדים + שקד שלישי
לשון - כריתת הממברנה (הפרדה)
שקדים עם אלקטרודה +  + ש.שלישי
שקדים באלקטרודה + שלישי + כפתורים
שקדים עם שימוש באלקטרודה
שקד שלישי + כפתורים - כריתה
בלוטת הרוק - פרוטיס - כריתה
בלוטת הרוק - תת ליסתית - כריתה
שקדים + שקד שלישי + כפתורים
ציסטה טירוגליסואלית
שקדים + שקד שלישי
לשון - כריתת הממברנה (הפרדה)
שקדים עם אלקטרודה +  + ש.שלישי
שקדים באלקטרודה + שלישי + כפתורים
שקדים עם שימוש באלקטרודה
צוואר - ביתור
ציסטה טירוגליסואלית
שקדים + שקד שלישי
לשון - כריתת הממברנה (הפרדה)
שקדים + כפתורים
שקדים עם אלקטרודה +  + ש.שלישי
שקדים באלקטרודה + שלישי + כפתורים
שקדים עם שימוש באלקטרודה
שקדים עם אלקטורדה +  + כפתורים
",,
סלמון טל,True,"פורטקאט/ פיק ליין/היקמן
וריד הספנה רגל1 + ורידים 2 רגלים
רגליים - מעקפים עורקיים ריחקניים
הזעת יתר - ניתוח
וריד הספנה + ורידים שתי רגליים
ורידים - רגל אחת
וריד הספנה + ורידים רגל אחת
קרוטיס (C.E.A)
עורק /וריד - דלף בלי גרפט
ורידים שתי רגלים
עורק /וריד - דלף בלי גרפט
ורידים שתי רגלים
הזעת יתר - ניתוח
וריד הספנה + ורידים שתי רגליים
ורידים - רגל אחת
וריד הספנה + ורידים רגל אחת
עורק /וריד - דלף בלי גרפט
ורידים שתי רגלים
פורטקאט/ פיק ליין/היקמן
וריד הספנה רגל1 + ורידים 2 רגלים
",,
סקרן נאסר,True,"קיבה - הוצאת טבעת/שינוי מיקום
כיס מרה - כריתה בלפרוסקופ
בקע סרעפתי בלפ/ קיבה רפלוקס לפ
קיבה - כריתה אורכית בלפ' (שרוול)
קיבה - קיצור באמצעות מעקף בלפ'
קיבה - הוצאת טבעת/שינוי מיקום
כיס מרה - כריתה בלפרוסקופ
בקע סרעפתי בלפ/ קיבה רפלוקס לפ
",True,"כירורגיה   כללית
"
מרק בארגבל,,,True,"דרכי עיכול(גסטרואנטריולוגיה,פרוקטולוגיה)
"
אלוייס תניר,True,"שד - כריתה חלקית + בלוטות
בלוטות לימפה/בית שחי - כריתה
שד - כריתה חלקית
שד - כריתה חלקית דו צדדי
",,
ניטקה שמואל,True,"רחם היסטרוסקופיה גרידה + פוליפ
רחם - כריתה בטנית
רחם + שחלות - כריתה בחתך
רחם - כריתת גוש בחתך (מיומה)
שחלה - כריתה חד/דו צדדית - בחתך
שחלה - כריתת ציסטה בחתך
רחם היסטרו שרירן/ספטום/אבלציה
שחלה/ות - לפרוסקופיה ניתוחית
צוואר הרחם - קשירה
",True,"גניקולוגיה
"
דב פלדברג,,,True,"גניקולוגיה
"
לאון אגולנסקי,,,True,"אורולוגיה
"
לנצברג לאוניד,True,"הוצאת גוש
החלפת פורט (טבעת לקיצור קיבה)
בקע סרעפתי בלפ/ קיבה רפלוקס לפ
קיבה - כריתה אורכית בלפ' (שרוול)
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
שד - הוצאת גוש
בלוטות לימפה/בית שחי - כריתה
הזעת יתר - ניתוח
שד - כריתה חלקית
בקע חוזר בדופן הבטן/צלקת ניתוח
בקע מפשעתי בלאפ' חד צדדי/דו""צ
תוספתן - אפנדציט - לפרוסקופ
וריד הספנה + ורידים שתי רגליים
פילונידל - סינוס/פיסטולקטומי
כיס מרה בלאפ' + בקע טבורי בחתך
כיס מרה - כריתה בלפרוסקופ
לפרוסקופיה אבחנתית
ורידים - רגל אחת
וריד הספנה + ורידים רגל אחת
החלפת פורט (טבעת לקיצור קיבה)
פילונידל - סינוס/פיסטולקטומי
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
ורידים - רגל אחת
וריד הספנה + ורידים רגל אחת
בקע מפשעתי + בקע טבורי בחתך
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
שד - הוצאת גוש
בלוטות לימפה/בית שחי - כריתה
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
שד - הוצאת גוש
בלוטות לימפה/בית שחי - כריתה
שד - כריתה חלקית
בקע חוזר בדופן הבטן/צלקת ניתוח
הוצאת גוש
קיבה - קיצור בלפרסקופ (טבעת)
בקע - הרניה מפשעתי בחתך / חוזר
בקע מפשעתי בלאפ' חד צדדי/דו""צ
פילונידל - סינוס/פיסטולקטומי
כיס מרה - כריתה בלפרוסקופ
בקע טבורי - ניתוח בחתך
שד - הוצאת גוש
בלוטות לימפה/בית שחי - כריתה
שד - הוצאת גוש
בלוטות לימפה/בית שחי - כריתה
הזעת יתר - ניתוח
שד - כריתה חלקית
בקע חוזר בדופן הבטן/צלקת ניתוח
בקע בדופן הבטן - לפרוסקופ
הוצאת גוש
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
בקע - הרניה מפשעתי בחתך / חוזר
קיבה - קיצור בלפרסקופ (טבעת)
בקע - הרניה מפשעתי בחתך / חוזר
בקע מפשעתי בלאפ' חד צדדי/דו""צ
פילונידל - סינוס/פיסטולקטומי
כיס מרה - כריתה בלפרוסקופ
כיס מרה - כריתה בלפרוסקופ
בקע טבורי - ניתוח בחתך
שד - הוצאת גוש
בלוטות לימפה/בית שחי - כריתה
הזעת יתר - ניתוח
שד - כריתה חלקית
בקע חוזר בדופן הבטן/צלקת ניתוח
הוצאת גוש
קיבה - קיצור בלפרסקופ (טבעת)
קיבה - הוצאת טבעת/שינוי מיקום
כיס מרה - כריתה בלפרוסקופ
לפרוסקופיה אבחנתית
ורידים - רגל אחת
וריד הספנה + ורידים רגל אחת
החלפת פורט (טבעת לקיצור קיבה)
בקע סרעפתי בלפ/ קיבה רפלוקס לפ
קיבה - כריתה אורכית בלפ' (שרוול)
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
שד - הוצאת גוש
",,
מיכאל פאר פאפיאשווילי,,,True,"כירורגית  חזה
"
מולנר רוברט,True,"נרתיק - פלסטיקה קדמית ואחורית
צוואר הרחם - קוניזציה
נרתיק - פלסטיקה קדמית
רחם היסטרו שרירן/ספטום/אבלציה
נרתיק - פלסטיקה אחורית
שלפוחית - T.V.T + פלסטיקה - בחתך
שחלה/ות - לפרוסקופיה ניתוחית
רחם היסטרוסקופיה אבחנתית + גרידה
וסטיבולקטומי - תיקון
רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
רצפת אגן קדמי/אחורי - תיקון
נרתיק - פלסטיקה קדמית ואחורית
צוואר הרחם - קוניזציה
נרתיק - פלסטיקה קדמית
נרתיק - פלסטיקה קדמית ואחורית
צוואר הרחם - קוניזציה
נרתיק - פלסטיקה קדמית
רחם היסטרו שרירן/ספטום/אבלציה
נרתיק - פלסטיקה אחורית
",,
צפרא סיריק,,,True,"כירורגיה   כללית
"
ידעאל הר זהב,,,True,"צינתורים,רדיולוגיה פולשנית
"
יעקובוביץ דמיטרי,True,"וריד הספנה + ורידים רגל אחת
קרוטיס (C.E.A)
רגלים - מעקפים עורקים
עורק /וריד - דלף בלי גרפט
ורידים שתי רגלים
וריד הספנה רגל1 + ורידים 2 רגלים
וריד הספנה - אנדולייזר רגל אחת
רגליים - מעקפים עורקיים ריחקניים
וריד הספנה + ורידים שתי רגליים
ורידים - רגל אחת
",,
אפשטיין אסתר,True,"לייזר - לקטרקט משני - יאג קפסולוט
לייזר - לגלאוקומה LTP,ארידטומי
לייזר - לקטרקט משני - יאג קפסולוט
לייזר - לקטרקט משני - יאג קפסולוט
",True,"עיניים
"
דשקובסקי איגור,True,"כיס מרה + בקע בד' הבטן - כריתהלאפ'
בקע סרעפתי בלפ/ קיבה רפלוקס לפ
מעי גס סיגמואיד/חלקי בלפרוסקופ
מעי גס כריתה מלאה בלפרוסקופ
פי טבעת - הרחבה
קיבה - כריתה אורכית בלפ' (שרוול)
שד - כריתה חלקית + בלוטות
מיני מעקף קיבה
קיבה - כריתה חלקית
טחורים - ניתוח
שד - כריתה
בקע חוזר בדופן הבטן + טבורי
טחורים/פילונידל סינוס + פרי אנאל
כיס מרה + בקע בד' הבטן - כריתהלאפ'
בקע סרעפתי בלפ/ קיבה רפלוקס לפ
פי טבעת - הרחבה
קיבה - כריתה אורכית בלפ' (שרוול)
קיבה - קיצור באמצעות מעקף בלפ'
שד - כריתה חלקית + בלוטות
מיני מעקף קיבה
שד - כריתה חלקית
שד - כריתה חלקית דו צדדי
בקע טבורי - לפרוסקופ
בקע חוזר בדופן הבטן/צלקת ניתוח
בקע בדופן הבטן - לפרוסקופ
הוצאת גוש
טחורים + פיסטולה(פילונידל סינוס)
מפשעה - כריתת גוש
קיבה - קיצור בלפרסקופ (טבעת)
קיבה - הוצאת טבעת/שינוי מיקום
קיבה - הוצאת טבעת/שינוי מיקום
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
תוספתן - אפנדציט - לפרוסקופ
פילונידל - סינוס/פיסטולקטומי
כיס מרה בלאפ' + בקע טבורי בחתך
כיס מרה - כריתה בחתך
כיס מרה - כריתה בלפרוסקופ
מעי גס ורקטום כריתה מלאה בחתך
מעי גס ורקטום - סיגמואיד/כ.חלקית
קיבה - קיצור בלפרסקופ (טבעת)
קיבה - הוצאת טבעת/שינוי מיקום
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
תוספתן - אפנדציט - לפרוסקופ
",,
ענתבי אירן,True,"דרכי דמעות - שטיפה וזונדג'
פזילה - מעל 2 שרירים
",,
בכר אירית,True,"פטריגיום עם השתלת לחמית
ירוד/קטרקט עם השתלת עדשה רגילה
פטריגיום עם השתלת לחמית
ירוד/קטרקט עם השתלת עדשה רגילה
פטריגיום עם השתלת לחמית
ירוד/קטרקט עם השתלת עדשה רגילה
",True,"עיניים
"
אלכסנדר קסטין,,,True,"אורולוגיה
"
אברהם ברוכין,,,True,"כירורגיה פלסטית
כירורגיה פלסטית
"
לוסקי משה,True,"ירוד/קטרקט עם השתלת עדשה רגילה
ויטרקטומי קידמי
ירוד/ קטרקט עם עדשה מתקדמת
קטרקט בלייזר עם עדשה רגילה
קטרקט בלייזר עם עדשה מתקדמת
",True,"עיניים
עיניים
"
קלמפרר איתמר,True,"פטריגיום עם השתלת לחמית
ירוד/קטרקט עם השתלת עדשה רגילה
פטריגיום עם השתלת לחמית
ירוד/קטרקט עם השתלת עדשה רגילה
ירוד/ קטרקט עם עדשה מתקדמת
קטרקט בלייזר עם עדשה רגילה
קטרקט בלייזר עם עדשה מתקדמת
",,
לבנה פנחס,True,"בקע - הרניה ילדים עד גיל 15
ערמונית - פרוסטטה פתוחה S.P.P
שלפוחית השתן - הסרת גידול TURT
פין - תיקון ברית
אשך - השתלת תותב
",True,"אורולוגיה
"
נמט אריה יהודה,True,"דרכי הדמעות - ניתוח לתיקון
עפעפיים - פטוסיס וצניחה - 2 עיניים
עפעף - פטוסיס ותיקון צניחה
ציסטה דרמואידית/רסקציה של עפעף
לייזר - לקטרקט משני - יאג קפסולוט
עפעף - הוצאת גידול ממאיר ומתלה
ירוד/קטרקט עם השתלת עדשה רגילה
דרכי הדמעות פתיחה/השתלת צינורי
קטרקט בלייזר עם עדשה רגילה
קטרקט בלייזר עם עדשה מתקדמת
אקטרופיון/אנטרופיון - 2 עפעפ'
דרכי הדמעות - ניתוח לתיקון
עפעפיים - פטוסיס וצניחה - 2 עיניים
עפעף - פטוסיס ותיקון צניחה
לייזר - לקטרקט משני - יאג קפסולוט
עפעף - הוצאת גידול ממאיר ומתלה
",,
רגב עמית,True,"מפרק ברך/ירך - השתלה מלאה
הוצאת ברגים/מסמרים
קיבוע - הסרה
",,
יניב ברקנא,,,True,"עיניים
"
ביין אונגרזון אורית,True,"יד - איחוי עצמות
כף יד - שחרור גידים בשורש
כף יד/רגל - הוצאת גנגיליון
אצבע הדק
כף יד - שחזור שבר בשורש - סגור
כף יד - שחרור עצב אולנרי בשורש
יד - דופיטרן פשוט
יד - דופיטרן מורכב
יד - שחזור וניקוי פרק
מרפק/מפרק - שחרור לחץ על עצבים
יד - דופיטרן פשוט
יד - דופיטרן מורכב
מרפק/מפרק - שחרור לחץ על עצבים
מרפק טניס
יד - שחזור עצב תפירה ושתילה
אצבע הדק - 2 או 3 אצבעות
כף יד - שחרור תעלה + אצבע הדק
כף יד - שחרור ת.קרפלית + דופיטרן
כף יד/רגל - סינבוקטומיה + שחזור
כף יד - שחרור תעלה קרפלית CTS
כף יד - שחרור גידים בשורש
כף יד/רגל - הוצאת גנגיליון
כף יד - שחזור שבר בשורש - סגור
כף יד - שחרור עצב אולנרי בשורש
יד - דופיטרן פשוט
יד - דופיטרן מורכב
יד - שחזור וניקוי פרק
מרפק/מפרק - שחרור לחץ על עצבים
מרפק טניס
יד - שחזור עצב תפירה ושתילה
אצבע הדק - 2 או 3 אצבעות
כף יד - שחרור תעלה + אצבע הדק
",,
בירגיטה ויינטראוב,,,True,"גניקולוגיה
"
סילברברג דניאל,True,"וריד הספנה + ורידים שתי רגליים
ורידים - רגל אחת
וריד הספנה + ורידים רגל אחת
קרוטיס (C.E.A)
רגלים - מעקפים עורקים
עורק /וריד - דלף בלי גרפט
ורידים שתי רגלים
",,
גרוסמן רחל,True,"דלף כולל וונטריקולוסטומי חדר - 3
יותרת המח - כריתת גידולים
ניתוח ראש - ע""י פתיחת גולגולת
קרניופלסטיקה
",True,"נוירוכירורגיה
"
מירי פאהןאלבי,,,True,"אף אוזן גרון
"
בלינקי אלכסנדר,True,"צנתור כלי דם - אבחוני
צנתור כלי דם - טיפולי
פורטקאט/ פיק ליין/היקמן
צנתור כלי דם - אבחוני
צנתור כלי דם - טיפולי
",,
פיקרסקי אלון,True,"פי הטבעת/פרי אנלי (פיסורה)
בטן - פתיחה חוקרת
רקטום - ניתוח לתיקון צניחה
",,
פישמן עמי,True,"רחם + שחלות + תיקון אי נקיטה - בחתך
שלפוחית - אי נקיטה בשיטת T.V.T
שלפוחית - T.V.T + פלסטיקה - בחתך
רחם - כריתת גוש בחתך (מיומה)
נרתיק - כריתת שרירן בחתך
רחם - כ. נרתיקית + פלסטיקה + TVT
נרתיק - פלסטיקה קדמית
בלוטת ברטוליני - ניקוז
שחלה - כריתה חד/דו צדדית - בחתך
שחלה/ות - לפרוסקופיה ניתוחית
",True,"גניקולוגיה
"
הדני משה,True,"יותרת המח - כריתת גידולים
",True,"נוירוכירורגיה
נוירוכירורגיה
"
מייקל גולדנהירש,,,True,"עור ומין
"
אלישע ברטוב,,,True,"עיניים
"
לריסה וייסבורד,,,True,"אף אוזן גרון
"
פסיק שלמה,True,"וריד הספנה + ורידים שתי רגליים
וריד הספנה + ורידים שתי רגליים
ורידים - רגל אחת
וריד הספנה + ורידים רגל אחת
",,
אורן אריאל,True,"כתף - תיקון אי - יציבות
כתף - אקרומיופלסטי + R.C + ACJ
כתף - תיקון אי - יציבות
כתף - אקרומיופלסטי + R.C + ACJ
",True,"אורתופדיה
"
משה גולן,,,True,"דרכי עיכול(גסטרואנטריולוגיה)
"
שמעונוב מרדכי,True,"קיבה - הוצאת טבעת/שינוי מיקום
בקע - הרניה מפשעתי בחתך / חוזר
מעי גס כריתה מלאה בלפרוסקופ
קיבה - כריתה אורכית בלפ' (שרוול)
קיבה - קיצור באמצעות מעקף בלפ'
קיבה - כריתה חלקית
מעי - דק כריתה בחתך
פי הטבעת/פרי אנלי (פיסורה)
תוספתן - אפנדציט
בקע טבורי - ניתוח בחתך
בלוטות לימפה/בית שחי - כריתה
שד - כריתה חלקית
",True,"כירורגיה   כללית
"
הוס ניר,True,"כתף - ארט' ניתוחי + כריתה של המפרק
כתף - תיקון אי - יציבות
כתף - אקרומיופלסטי + R.C + ACJ
כתף - תיקון שבר סגור בראש הזרוע
כתף - החלפת מפרק
כתף - תיקון שבר פתוח בראש הזרוע
כתף - החלפה חלקית של המפרק
כתף - ארט' - הדבקות,קרעים,סינבוקטו
כתף - ארט' ניתוחי - סובאקרומיאלי
כתף - ארט' ניתוחי + כריתה של המפרק
כתף - תיקון אי - יציבות
כתף - אקרומיופלסטי + R.C + ACJ
כתף - תיקון שבר פתוח בראש הזרוע
כתף - החלפה חלקית של המפרק
כתף - תיקון אי - יציבות
כתף - אקרומיופלסטי + R.C + ACJ
כתף - תיקון שבר פתוח בראש הזרוע
כתף - החלפה חלקית של המפרק
כתף - ארט' - הדבקות,קרעים,סינבוקטו
כתף - ארט' - הדבקות,קרעים,סינבוקטו
כתף - ארט' ניתוחי - סובאקרומיאלי
כתף - ארט' ניתוחי + כריתה של המפרק
כתף - תיקון אי - יציבות
",True,"אורתופדיה
"
מרגוליס מיכאל,True,"מפרק ברך/ירך - השתלה מלאה
אצבע הדק - 2 או 3 אצבעות
כף יד - שחרור תעלה + אצבע הדק
כף רגל - ניתוח לתיקון שבר
רגל - תיקון קרע גיד
ברך - שחזור רצועות
האלוס ואלגוס + אצבע פטישנית
הוצאת ברגים/מסמרים
כף יד/רגל - שחזור/קבוע בורג/שתיל
כף יד - שחרור תעלה קרפלית CTS
כף רגל - האלוס ואלגוס - רגל אחת
כף יד/רגל - הוצאת גנגיליון
אצבע הדק
כף רגל - האלוס ואלגוס - שתי רגלים
אצבע כף הרגל - ניתוח/כריתה
קיבוע - הסרה
אצבע כף הרגל - ניתוח/כריתה
כף יד - שחזור שבר בשורש - סגור
קיבוע - הסרה
מפרק ברך/ירך - השתלה מלאה
אצבע הדק - 2 או 3 אצבעות
כף יד/רגל - שחזור/קבוע בורג/שתיל
כף יד - שחרור תעלה קרפלית CTS
כף רגל - האלוס ואלגוס - רגל אחת
כף יד/רגל - הוצאת גנגיליון
אצבע הדק
כף רגל - האלוס ואלגוס - שתי רגלים
אצבע כף הרגל - ניתוח/כריתה
קיבוע - הסרה
רגל/יד - קיבוע ע""י פלטות
כף יד - שחזור שבר בשורש - פתוח
",,
