bank,name,address,lat,lon
"בנק לאומי לישראל בע""מ",ג'וליס,", ג'ולס",32.94498,35.184243
"בנק הפועלים בע""מ",אכסאל,", אכסאל",32.682085,35.320743
"בנק לאומי לישראל בע""מ",פפר,"אחד העם 9, תל אביב -יפו",32.0635763,34.769478
"בנק מזרחי טפחות בע""מ","עו""ז","טרמינל 3, נמל תעופה בן-גוריון",32.0036475,34.8728374
"בנק לאומי לישראל בע""מ",מודיעין עילית,"שד' יחזקאל 2, מודיעין עילית",31.9371339,35.0371973
"בנק מזרחי טפחות בע""מ",כפר קאסם,", כפר קאסם",32.114093,34.972767
"בנק הפועלים בע""מ",דיגיטל רמת החייל,"הברזל 15, תל אביב -יפו",32.1078111,34.8378429
"בנק מזרחי טפחות בע""מ",מגדל  העמק,"שד' שאול עמור 77, מגדל העמק",32.6889077,35.2482176
"בנק מזרחי טפחות בע""מ",באקה אל גרביה,", באקה אל-גרביה",32.422891,35.035764
"בנק לאומי לישראל בע""מ",בנקאות פרטית הרצליה,"המנופים 15, הרצלייה",32.159665,34.8087495
