bank,name,address,lat,lon
"בנק לאומי לישראל בע""מ",שלוחת מגדיאל,"סוקולוב 12, הוד השרון",32.1624495,34.9026474
"בנק לאומי לישראל בע""מ",עסקים קרית אריה,"ז'בוטינסקי 110, פתח תקווה",32.0926429,34.8549121
"בנק הפועלים בע""מ",טוביהו,"שד' ירושלים 42, באר שבע",31.2461458,34.7764148
"בנק הפועלים בע""מ",מודיעין עילית,"שד' יחזקאל 2 שד' יחזקאל 2, מודיעין עילית, מודיעין עילית",31.9369642,35.0391341
"בנק לאומי לישראל בע""מ",כיכר השבטים,"שבט לוי 16, אשדוד",31.7780712,34.6358425
"בנק לאומי לישראל בע""מ",טרומפלדור,"בן יהודה 29, תל אביב -יפו",32.0767593,34.7682359
"בנק לאומי לישראל בע""מ",שלוחת המכללה למנהל,"יצחק רבין 7, ראשון לציון",31.9727107,34.76942349999999
"בנק פועלי אגודת ישראל בע""מ",שלוחת משכנתאות חזון איש,"חזון איש 42, בני ברק",32.0809246,34.8345542
"בנק הפועלים בע""מ",שמואל הנציב,"שמואל הנציב 28, נתניה",32.3310805,34.8565603
"בנק לאומי לישראל בע""מ",קרית ביאליק,"שדרות ירושלים 18, קריית ביאליק",32.8240817,35.0822451
"הבנק הבינלאומי הראשון לישראל בע""מ",קרית אריה,"שנקר 12, פתח תקווה",32.0948575,34.8560965
"בנק הפועלים בע""מ",הלפיד,"בן גוריון 38, רמת גן",32.0915031,34.8225191
"בנק לאומי לישראל בע""מ",בית אבות דור כרמל,"גדליהו 1, חיפה",32.7823944,35.0253215
"בנק לאומי לישראל בע""מ","בית אבות ""נופים""","סולד 2, ירושלים",31.7621653,35.1718207
"בנק לאומי לישראל בע""מ","בית אבות ""הוד""","גואטמלה 3, ירושלים",31.7601027,35.1771467
"בנק לאומי לישראל בע""מ","בית אבות ""נופי גילה""","אונטרמן 5, ירושלים",31.730836,35.194134
"בנק לאומי לישראל בע""מ","בית אבות ""זרע סלומון""","נתיב האבות 1, כפר סבא",32.1750166,34.8909233
"בנק אוצר החייל בע""מ",בת גלים,"העליה השניה 39 בת גלים, חיפה",32.8321251,34.9785
"הבנק הבינלאומי הראשון לישראל בע""מ",הנהלה מרכזית,"אחד העם 9, תל אביב -יפו",32.0635763,34.769478
"בנק פועלי אגודת ישראל בע""מ",הנהלה מרכזית,"אחד העם 9, תל אביב -יפו",32.0635763,34.769478
"בנק לאומי לישראל בע""מ",שאג'ור - אום אלפחם,"שאג'ור, אום אל-פחם",32.511126,35.14867
"בנק ערבי ישראלי בע""מ",שאג'ור - אום אלפחם,"שאג'ור, אום אל-פחם",32.511126,35.14867
"בנק לאומי לישראל בע""מ",נווה דור דיור מוגן,"משה דיין 8, קריית טבעון",32.7057754,35.1167378
"בנק אוצר החייל בע""מ",היוצרים,"התע""ש 14, כפר סבא",32.1746225,34.9264295
"בנק לאומי לישראל בע""מ",שחקים,"היצירה 3, רמת גן",32.0851188,34.8026171
"בנק לאומי לישראל בע""מ",פסגת זאב,"שדרות משה דיין 106, ירושלים",31.8280111,35.2402155
"בנק אוצר החייל בע""מ",אסף הרופא,"ביה""ח אסף הרופא, ראשון לציון",31.968660354614258,34.84326934814453
"בנק לאומי לישראל בע""מ",ריינה - משהד,"כביש ראשי 0, ריינה",39.0999499,-84.51261439999999
"בנק ערבי ישראלי בע""מ",ריינה - משהד,"כביש ראשי 0, ריינה",39.0999499,-84.51261439999999
"בנק לאומי לישראל בע""מ",שלוחת בני ברק,"זבוטינסקי 7, בני ברק",32.0913503,34.8246209
"בנק לאומי לישראל בע""מ",כפר קרע,", כפר קרע",32.505518,35.054251
"בנק ערבי ישראלי בע""מ",כפר קרע,", כפר קרע",32.505518,35.054251
"בנק לאומי לישראל בע""מ",טורעאן,"מרכז הכפר מרכז הכפר, טורעאן",32.776344,35.370479
"בנק ערבי ישראלי בע""מ",טורעאן,"מרכז הכפר מרכז הכפר, טורעאן",32.776344,35.370479
"בנק לאומי לישראל בע""מ",בועיינה נוג'ידאת,", בועיינה-נוג'ידאת",32.807711,35.36527
"בנק ערבי ישראלי בע""מ",בועיינה נוג'ידאת,", בועיינה-נוג'ידאת",32.807711,35.36527
"בנק לאומי לישראל בע""מ",טמרה,", טמרה",32.852247,35.201315
"בנק ערבי ישראלי בע""מ",טמרה,", טמרה",32.852247,35.201315
"בנק לאומי לישראל בע""מ",נצרת,"רחוב הגליל 16 0, נצרת",32.7056651,35.3037727
"בנק ערבי ישראלי בע""מ",נצרת,"רחוב הגליל 16 0, נצרת",32.7056651,35.3037727
"בנק לאומי לישראל בע""מ",נחף,", נחף",32.934675,35.31652
"בנק ערבי ישראלי בע""מ",נחף,", נחף",32.934675,35.31652
"בנק לאומי לישראל בע""מ",סכנין,", סח'נין",32.864167,35.294547
"בנק ערבי ישראלי בע""מ",סכנין,", סח'נין",32.864167,35.294547
"בנק לאומי לישראל בע""מ",כפר כנא,", כפר כנא",32.7481978,35.3438402
"בנק ערבי ישראלי בע""מ",כפר כנא,", כפר כנא",32.7481978,35.3438402
"בנק לאומי לישראל בע""מ",הבאר,"מורשת ישראל 15, ראשון לציון",31.9751663,34.7744261
"בנק לאומי לישראל בע""מ",כפר מנדא,", כפר מנדא",32.81236,35.258613
"בנק ערבי ישראלי בע""מ",כפר מנדא,", כפר מנדא",32.81236,35.258613
"בנק לאומי לישראל בע""מ",בית ג'אן,", בית ג'ן",32.965655,35.381268
"בנק ערבי ישראלי בע""מ",בית ג'אן,", בית ג'ן",32.965655,35.381268
"בנק הפועלים בע""מ",הרצליה פיתוח,"המעפילים 39 הרצליה פיתוח, הרצלייה",32.1804515,34.8040509
"בנק הפועלים בע""מ",חולון א,"סוקולוב 95, חולון",32.0224275,34.7814282
"בנק אוצר החייל בע""מ",מ.ש.י. כניסה לקבע,"בסיס תל השומר 0, רמת גן",32.0496814,34.8502868
"בנק לאומי לישראל בע""מ",חרפיש,", חורפיש",33.016688,35.347106
"בנק ערבי ישראלי בע""מ",חרפיש,", חורפיש",33.016688,35.347106
"בנק לאומי לישראל בע""מ",כאבול,", כאוכב אבו אל-היג'א",32.831888,35.248701
"בנק ערבי ישראלי בע""מ",כאבול,", כאוכב אבו אל-היג'א",32.831888,35.248701
"בנק לאומי לישראל בע""מ",ג'דיידה - מכר,", ג'דיידה-מכר",32.928656,35.150573
"בנק ערבי ישראלי בע""מ",ג'דיידה - מכר,", ג'דיידה-מכר",32.928656,35.150573
"בנק לאומי לישראל בע""מ",מרכז מסחרי שפרעם,"Archbishop el-Hajar, שפרעם",32.802262,35.172825
"בנק ערבי ישראלי בע""מ",מרכז מסחרי שפרעם,"Archbishop el-Hajar, שפרעם",32.802262,35.172825
"בנק לאומי לישראל בע""מ",אכסאל,"אכסאל 1, אכסאל",32.7005393,35.2974756
"בנק ערבי ישראלי בע""מ",אכסאל,"אכסאל 1, אכסאל",32.7005393,35.2974756
"בנק לאומי לישראל בע""מ",כפר יאסיף,", כפר יאסיף",32.9520318,35.1599957
"בנק ערבי ישראלי בע""מ",כפר יאסיף,", כפר יאסיף",32.9520318,35.1599957
"בנק ערבי ישראלי בע""מ",אום אל פחם,", אום אל-פחם",32.517127,35.148529
"הבנק הבינלאומי הראשון לישראל בע""מ",מגדל שלום,"אחד העם 9, תל אביב -יפו",32.0635763,34.769478
"בנק אוצר החייל בע""מ",חיל הים - חיפה,"בת-גלים, חיפה",32.835525,34.982492
"בנק לאומי לישראל בע""מ",ראמה,", ראמה",32.937112,35.366984
"בנק ערבי ישראלי בע""מ",ראמה,", ראמה",32.937112,35.366984
"בנק אוצר החייל בע""מ",גבעתיים,"הורודצקי 10, תל אביב -יפו",32.063477,34.8013
"בנק לאומי לישראל בע""מ",מעלות תרשיחא,", מעלות-תרשיחא",33.015026,35.276017
"בנק ערבי ישראלי בע""מ",מעלות תרשיחא,", מעלות-תרשיחא",33.015026,35.276017
"בנק לאומי לישראל בע""מ",עראבה,", עראבה",32.853705,35.337167
"בנק ערבי ישראלי בע""מ",עראבה,", עראבה",32.853705,35.337167
"בנק לאומי לישראל בע""מ",גוש חלב,", (ג'ש (גוש חלב",33.021266,35.447949
"בנק ערבי ישראלי בע""מ",גוש חלב,", (ג'ש (גוש חלב",33.021266,35.447949
"בנק לאומי לישראל בע""מ",ירכא,", ירכא",32.953492,35.21199
"בנק ערבי ישראלי בע""מ",ירכא,", ירכא",32.953492,35.21199
"בנק לאומי לישראל בע""מ",אעבלין,", אעבלין",32.821799,35.19012
"בנק ערבי ישראלי בע""מ",אעבלין,", אעבלין",32.821799,35.19012
"בנק לאומי לישראל בע""מ",דיר אל אסד-בענה,", דייר אל-אסד",32.93445,35.268394
"בנק ערבי ישראלי בע""מ",דיר אל אסד-בענה,", דייר אל-אסד",32.93445,35.268394
"הבנק הבינלאומי הראשון לישראל בע""מ",יובנק - כיכר המדינה,"ה' באייר 62, תל אביב -יפו",32.08797020000001,34.7895287
"בנק לאומי לישראל בע""מ",כפר ערערה,", ערערה",32.496323,35.097292
"בנק ערבי ישראלי בע""מ",כפר ערערה,", ערערה",32.496323,35.097292
"בנק לאומי לישראל בע""מ",פקיעין,", (פקיעין (בוקייעה",33.012733,35.286286
"בנק ערבי ישראלי בע""מ",פקיעין,", (פקיעין (בוקייעה",33.012733,35.286286
"בנק לאומי לישראל בע""מ",חיפה,"המגינים 53, חיפה",32.8195161,34.9949314
"בנק ערבי ישראלי בע""מ",חיפה,"המגינים 53, חיפה",32.8195161,34.9949314
"בנק לאומי לישראל בע""מ",דבוריה,", דבורייה",32.69412,35.368513
"בנק ערבי ישראלי בע""מ",דבוריה,", דבורייה",32.69412,35.368513
"בנק לאומי לישראל בע""מ",ג'ת,"אלשאפעי, ג'ת",32.3967616,35.0352668
"בנק ערבי ישראלי בע""מ",ג'ת,"אלשאפעי, ג'ת",32.3967616,35.0352668
"בנק לאומי לישראל בע""מ","יחידת ביצוע מחלקת מט""י","בר יהודה 48, נשר",32.7780002,35.0386043
"בנק ערבי ישראלי בע""מ","יחידת ביצוע מחלקת מט""י","בר יהודה 48, נשר",32.7780002,35.0386043
"בנק הפועלים בע""מ",בן יהודה,"בן יהודה 19, תל אביב -יפו",32.0759043,34.7680771
"בנק הפועלים בע""מ",יובלים,"הנחילות 2, פרדס חנה-כרכור",32.48226500000001,34.987428
"בנק לאומי לישראל בע""מ",יפיע,", יפיע",32.695002,35.28201
"בנק ערבי ישראלי בע""מ",יפיע,", יפיע",32.695002,35.28201
"בנק לאומי לישראל בע""מ",מרכז אמידים,"הגליל 16, נצרת",32.7056651,35.3037727
"בנק ערבי ישראלי בע""מ",מרכז אמידים,"הגליל 16, נצרת",32.7056651,35.3037727
"בנק לאומי לישראל בע""מ",ג'ולס,", ג'ולס",32.94498,35.184243
"בנק ערבי ישראלי בע""מ",ג'ולס,", ג'ולס",32.94498,35.184243
"בנק לאומי לישראל בע""מ",מג'אר,", מגאר",32.890704,35.40461
"בנק ערבי ישראלי בע""מ",מג'אר,", מגאר",32.890704,35.40461
"בנק הפועלים בע""מ",בלפור,"אלנבי 65, תל אביב -יפו",32.068128,34.7709996
"בנק הפועלים בע""מ",קרית קריניצי,"יוסף ספיר 9, רמת גן",32.0554187,34.849368
"בנק מרכנתיל דיסקונט בע""מ",רעננה,"אחוזה 85, רעננה",32.1796053,34.8784823
"בנק הפועלים בע""מ",להבים,"שד' רימון 1, להבים",31.369216,34.811057
"בנק לאומי לישראל בע""מ",שלוחת פסגת זאב,"שדרות משה דיין 106, ירושלים",31.8280111,35.2402155
"בנק הפועלים בע""מ",בית וגן,"הפסגה 39 א, ירושלים",31.7667593,35.1837165
"הבנק הבינלאומי הראשון לישראל בע""מ",פאגי שלוחת קרית ספר,"אבני נזר 46, מודיעין עילית",31.9310089,35.0395506
"בנק פועלי אגודת ישראל בע""מ",שלוחת קרית ספר,"אבני נזר 46, מודיעין עילית",31.9310089,35.0395506
"בנק הפועלים בע""מ",קרית ים,"שד' ויצמן 12, קריית ים",32.850247,35.072379
"בנק לאומי לישראל בע""מ",פייבל,"ארלוזורוב 149, תל אביב -יפו",32.0831907,34.7928582
"בנק לאומי לישראל בע""מ",היעלים,"שדרות היעלים, באר שבע",31.2521664,34.7783423
"בנק הפועלים בע""מ",טבריה עלית,"המברג 1, טבריה",32.7841736,35.4978863
"בנק לאומי לישראל בע""מ",קרית שרת,"קרן היסוד 1, חולון",32.0084521,34.791814
"בנק לאומי לישראל בע""מ",באר יעקב,"אפרים קישון 9, באר יעקב",31.9420139,34.8444594
"בנק לאומי לישראל בע""מ",מזכרת בתיה,"שדרות אליהו 8, מזכרת בתיה",31.8547452,34.8421085
"בנק לאומי לישראל בע""מ",שאול המלך,"שאול המלך 1, תל אביב -יפו",32.0756145,34.7818593
"בנק לאומי לישראל בע""מ",מגדלי דוד,"אורי 12, תל אביב -יפו",32.0813246,34.7853173
"בנק מרכנתיל דיסקונט בע""מ",כנפי נשרים -שלוחת הר-נוף,"שאולזון 31, ירושלים",31.7879218,35.1722538
"בנק לאומי לישראל בע""מ",מרכז אמידים,"הגליל 16, נצרת",32.7056651,35.3037727
"בנק לאומי לישראל בע""מ",שלוחת לב הפארק,"ירושלים 34, רעננה",32.1854841,34.8544072
"בנק לאומי לישראל בע""מ",הרצליה פתוח,"ככר דה שליט -, הרצלייה",32.179018,34.805034
"בנק לאומי לישראל בע""מ",אוסישקין,"אוסישקין 3, רמת השרון",32.1379398,34.841366
"בנק לאומי לישראל בע""מ",קרית היובל,"אורוגואי 1, ירושלים",31.7608851,35.1758935
"בנק לאומי לישראל בע""מ",גשר הירקון,"יהודה המכבי 72, תל אביב -יפו",32.094457,34.794281
"בנק הפועלים בע""מ",בית התעשיה,"המרד 29, תל אביב -יפו",32.0638198,34.7637231
"בנק הפועלים בע""מ",רמת אביב החדשה,"רודנסקי 5, תל אביב -יפו",32.1204763,34.7927357
"בנק לאומי לישראל בע""מ",גבעת שמואל,"נתניהו 23, גבעת שמואל",32.0755639,34.8552352
