lat,lon,name,בעלות,כתובת,לשכת בריאות,מנהל,מס' טלפון,מס' פקס,נפה,סוג,עיר/ישוב,קוד מוסד
29.5539967,34.9355056,"בית חולים ע""ש יוספטל",כללית,"דרך יותם, ת.ד. ,600 אילת",לשכת בריאות באר שבע,"ד""ר ברקוביץ אלדר",08-6358015,08-6372549,באר שבע,בתי חולים לאשפוז כללי,אילת,01308
29.5539967,34.9355056,"בית חולים ע""ש יוספטל",כללית,"דרך יותם, ת.ד. ,600 אילת",לשכת בריאות באר שבע,"ד""ר ברקוביץ אלדר",08-6358015,08-6372549,באר שבע,בתי חולים לאשפוז כללי,אילת,01308
32.7868917,34.9814339,"בית חולים ע""ש ליידי דיויס, הכרמל",כללית,רחוב מיכל 7 אחוזה,לשכת בריאות חיפה,"ד""ר גולדברג אבי",04-8250301,04-8257212,חיפה,בתי חולים לאשפוז כללי,חיפה,01306
31.872098,34.819394,"בית חולים ע""ש קפלן",כללית,"דרך פסטרנק, צומת בילו, ת.ד. 1",לשכת בריאות רחובות,"ד""ר גרוזמן קרלוס",08-9441520,08-9411263,רחובות,בתי חולים לאשפוז כללי,רחובות,01304
31.7699882,35.1896579,בית חולים שערי צדק,ציבורי,רח' שמואל ביט ת.ד. 3235,לשכת בריאות ירושלים,פרופ' הלוי יונתן,02-6555111,02-6513936,ירושלים,בתי חולים לאשפוז כללי,ירושלים,01601
31.7838941,35.2183703,"המרכז הרפואי שערי צדק, שלוחת ביקור חולים",ציבורי,שטראוס 5,לשכת בריאות ירושלים,"ד""ר שמש עובדיה",,,ירושלים,בתי חולים לאשפוז כללי,ירושלים,01607
32.0281114,34.748518,"מ.ר.ב מרכז רפואי 1996 בע""מ",פרטי,שדרות העצמאות 67,לשכת בריאות תל אביב-יפו,"ד""ר חייטון אלכסיי",03-5008888,03-5535393,תל-אביב,בתי חולים לאשפוז כללי,בת ים,01712
31.256733,34.812449,מרכז רפואי אוניברסיטאי סורוקה,כללית,"שד' בן גוריון, ת.ד. ,151באר שבע",לשכת בריאות באר שבע,"ד""ר דודסון אהוד",08-6403408,08-6277364,באר שבע,בתי חולים לאשפוז כללי,באר שבע,01302
31.6619693,34.55967,"מרכז רפואי אוניברסיטאי ע""ש ברזילי",ממשלתי,"רח' ההסתדרות ,2 אשקלון",לשכת בריאות אשקלון,"ד""ר לוי יחזקאל",08-6745600,08-6732342,אשקלון,בתי חולים לאשפוז כללי,אשקלון,01108
32.1777542,34.8029891,מרכז רפואי הרצליה,פרטי,רמות ים 7,לשכת בריאות תל אביב-יפו,"ד""ר סטון אריק",09-9592555,09-9592900,תל-אביב,בתי חולים לאשפוז כללי,הרצליה,01703
32.9550843,35.4920175,"מרכז רפואי זיו, צפת",ממשלתי,"דרך הרמב""ם ת.ד. ,1008 צפת",לשכת בריאות צפת,"ד""ר זרקא סלמאן",04-6828811,04-6828811,צפת,בתי חולים לאשפוז כללי,צפת,01105
32.8007949,34.9920042,מרכז רפואי חורב,פרטי,יאיר כץ 12,לשכת בריאות חיפה,"ד""ר ישראלית שלמה חנן",04-8305222,048341279,חיפה,בתי חולים לאשפוז כללי,חיפה,01707
,,מרכז רפואי לגליל,ממשלתי,"שד' בן צבי כביש מעונה , ת.ד. 21",לשכת בריאות עכו,"ד""ר ברהום מסעד",04-9107107,04-9850611,עכו,בתי חולים לאשפוז כללי,נהריה,01107
32.031376,34.770677,"מרכז רפואי ע""ש א. וולפסון",ממשלתי,רח' הלוחמים 62,לשכת בריאות תל אביב-יפו,"ד""ר ברלוביץ יצחק",03-5028321,03-5054482,תל-אביב,בתי חולים לאשפוז כללי,חולון,01104
31.954056,34.8504952,"מרכז רפואי ע""ש אסף הרופא, צריפין",ממשלתי,צריפין,לשכת בריאות רמלה,"ד""ר דוידזון בנימין",08-9648040,08-9779502,רמלה,בתי חולים לאשפוז כללי,באר יעקב,01103
32.8054231,34.9924116,"מרכז רפואי ע""ש בני ציון","ע""מ",רח' גולומב 47,לשכת בריאות חיפה,"ד""ר רופא אמנון",04-8359666,04-8371393,חיפה,בתי חולים לאשפוז כללי,חיפה,01204
,,"מרכז רפואי ע""ש ברוך פדה, פוריה",ממשלתי,"רמת פוריה, ד.נ. גליל תחתון",לשכת בריאות טבריה,"ד""ר און ארז",04-6652208,04-6652480,כנרת,בתי חולים לאשפוז כללי,טבריה,01109
32.0477955,34.8438634,"מרכז רפואי ע""ש ד""ר ח. שיבא, תל-השומר",ממשלתי,תל-השומר,לשכת בריאות תל אביב-יפו,פרופ' קרייס יצחק,03-5303030,03-5351508,תל-אביב,בתי חולים לאשפוז כללי,רמת גן,01101
32.4409117,34.8921355,"מרכז רפואי ע""ש הלל יפה",ממשלתי,"כביש החוף ת.ד. ,169חדרה",לשכת בריאות חדרה,"ד""ר דודקביץ משה-מיקי",04-6304304,04-6344776,חדרה,בתי חולים לאשפוז כללי,חדרה,01106
32.181167,34.89767459999999,"מרכז רפואי ע""ש ספיר, מאיר",כללית,רח' טשרניחובסקי 59,לשכת בריאות פתח תקווה,"ד""ר וירטהיים איתן",09-7472568,09-7441730,פתח תקווה,בתי חולים לאשפוז כללי,כפר סבא,01303
32.0881149,34.8671113,"מרכז רפואי ע""ש רבין, קמפוס בילינסון",כללית,"רח' ז'בוטינסקי,אתר בילינסון",לשכת בריאות פתח תקווה,"ד""ר הלפרן ערן",03-9376014,03-9376029,פתח תקווה,בתי חולים לאשפוז כללי,פתח תקוה,01301
32.0792202,34.88189759999999,"מרכז רפואי ע""ש רבין, קמפוס גולדה - השרון",כללית,"אתר גולדה, קק""ל 7",לשכת בריאות פתח תקווה,"ד""ר חבר איתן",03-9372454,03-9372372,פתח תקווה,בתי חולים לאשפוז כללי,פתח תקוה,01307
32.0792202,34.88189759999999,"מרכז רפואי ע""ש רבין, קמפוס גולדה - השרון",כללית,"אתר גולדה, קק""ל 7",לשכת בריאות פתח תקווה,"ד""ר חבר איתן",03-9372454,03-9372372,פתח תקווה,בתי חולים לאשפוז כללי,פתח תקוה,01307
,,"מרכז רפואי ע""ש רמב""ם",ממשלתי,"רח' העליה ,8 בת גלים ת.ד 9602",לשכת בריאות חיפה,פרופ' ביאר רפאל,04-8542389,04-8542907,חיפה,בתי חולים לאשפוז כללי,חיפה,01102
32.0801258,34.7898816,"מרכז רפואי תל-אביב ע""ש א. סוראסקי","ע""מ",רח' ויצמן 6,לשכת בריאות תל אביב-יפו,פרופ' גמזו רוני,03-6974444,03-6973859,תל-אביב,בתי חולים לאשפוז כללי,תל אביב-יפו,01201
32.0281114,34.748518,בית חולים בית בלב בת ים,פרטי,שדרות העצמאות 67,לשכת בריאות תל אביב-יפו,"ד""ר מונסטירסקי ליובוב נחמה",03-5008900,03-5008950,תל-אביב,בתי חולים למחלות ממושכות,בת ים,21701
32.0720671,34.8944253,מרכז הגריאטרי בית רבקה,כללית,"רח' החמישה ,4 ת.ד. 270",לשכת בריאות פתח תקווה,"ד""ר בריל שי",03-9373811,03-9328118,פתח תקווה,בתי חולים למחלות ממושכות,פתח תקוה,21302
31.8123014,34.77701920000001,"מרכז הגריאטרי ע""ש הרצפלד",כללית,"ת.ד. ,48 גדרה",לשכת בריאות רחובות,"ד""ר גרוזמן קרלוס",08-8591880,08-8594517,רחובות,בתי חולים למחלות ממושכות,גדרה,21301
32.777469,35.005636,"מרכז הגריאטרי שיקומי ע""ש פלימן",ממשלתי,"רח' זלמן שניאור, רמות רמז",לשכת בריאות חיפה,"ד""ר מנדלסון גד",04-8323579,04-8226017,חיפה,בתי חולים למחלות ממושכות,חיפה,21102
31.9295944,34.8289629,מרכז רפואי גריאטרי שמואל הרופא,ממשלתי,"רח' הבנים, ת.ד. 2",לשכת בריאות רמלה,"ד""ר כהן רוזנפלד ורה",08-9221557,08-9220672,רמלה,בתי חולים למחלות ממושכות,באר יעקב,21101
31.768319,35.21371,בית חולים אלקודס ליולדות,פרטי,ת.ד. 25159,לשכת בריאות ירושלים,"ד""ר אבו טאעה דאוד",02-6565298,02-6565292,ירושלים,בתי יולדות,ירושלים,02701
31.7779317,35.2456983,בית חולים הסהר האדום,ציבורי,"ת.ד. ,22125 הר הזיתים",לשכת בריאות ירושלים,"ד""ר דעיס ניהאד",02-6286694,,ירושלים,בתי יולדות,ירושלים,02602
,,מאור-מעון יום לתחלואה כפולה - מועדון תעסוקתי,ציבורי,"העבודה ,61 א.ת. קלה",לשכת בריאות אשקלון,גב' אפרת בר,08-6229644,08-6229639,אשקלון,טיפול במשתמשים במסים אמבו,אשדוד,38602
31.2440679,34.7989225,"""פניקס"" מרפאה לטיפול בהתמכרויות - ד""ר קפצן אלכסנדר",פרטי,"בן צבי ,11 חדר 19",לשכת בריאות באר שבע,"ד""ר קפצן אלכסנדר",054-4320191,,באר שבע,טיפול במשתמשים בסמים אמבו,באר שבע,37708
32.0519758,34.7644338,אזמרה,פרטי,שארית ישראל 37,לשכת בריאות תל אביב-יפו,"ד""ר וולף אביבה ברנה",03-6823030,,תל-אביב,טיפול במשתמשים בסמים אמבו,תל אביב-יפו,37710
32.8065297,35.0167845,בית אלמוג,פרטי,"אופיר ,25 חוף שמן",לשכת בריאות חיפה,"ד""ר רוזנמן ראובן",04-6317048,,חיפה,טיפול במשתמשים בסמים אמבו,חיפה,37717
32.8028495,35.0842739,בית חם עתיד,פרטי,שטנד 1,לשכת בריאות חיפה,"ד""ר מאידניק יורי",057-8126076,,חיפה,טיפול במשתמשים בסמים אמבו,קרית אתא,37712
31.79323279999999,35.2139963,הדרך אל האור,פרטי,ירמיהו 14,לשכת בריאות ירושלים,"ד""ר וייסברג נחום אדוארד ניל",02-5343604,,ירושלים,טיפול במשתמשים בסמים אמבו,ירושלים,37715
32.7888469,35.5364239,מ.א.מ.צ. לנפגעי סמים גליל - מתדון,ציבורי,העמקים 26,לשכת בריאות טבריה,"ד""ר גיללך ולרי",04-6725977,04-6715437,כנרת,טיפול במשתמשים בסמים אמבו,טבריה,37605
31.894447,34.793326,מודעות - רחובות,פרטי,"דרך הים ,1 קניון אמריקן סיטי",לשכת בריאות רחובות,"ד""ר רוזנברג עודד",054-7502109,,רחובות,טיפול במשתמשים בסמים אמבו,רחובות,37716
,,מסאראת,פרטי,"הגליל, בניין אבו אחמד, קומה-ג",לשכת בריאות נצרת,"ד""ר קמינסקי דוד",04-6620993,,יזרעאל,טיפול במשתמשים בסמים אמבו,נצרת,37718
31.7516791,34.9945213,מפגשים מבית רטורנו,ציבורי,רביצקי 3,לשכת בריאות ירושלים,"ד""ר לוין קטיה רות",02-9996061,,ירושלים,טיפול במשתמשים בסמים אמבו,בית שמש,37612
32.446235,34.950257,מרכז לטיפול תרופתי ממושך - מתדון חדרה,ציבורי,"תחנת רכבת מזרח, ת.ד. 381",לשכת בריאות חדרה,"ד""ר חלד לודמילה",04-6346124,,חדרה,טיפול במשתמשים בסמים אמבו,חדרה,37603
32.446235,34.950257,מרכז לטיפול תרופתי ממושך - מתדון חדרה,ציבורי,"תחנת רכבת מזרח, ת.ד. 381",לשכת בריאות חדרה,"ד""ר חלד לודמילה",04-6346124,,חדרה,טיפול במשתמשים בסמים אמבו,חדרה,37603
31.7513959,35.2085542,מרכז לטיפול תרופתי ממושך ירושלים (מ.מ.י),ציבורי,האומן 20,לשכת בריאות ירושלים,"ד""ר טיטוב ווסבולוד",02-6789378,,ירושלים,טיפול במשתמשים בסמים אמבו,ירושלים,37609
32.805338,35.0186889,מרכז לטיפול תרופתי ממושך מ.א.מ.צ. חיפה,ציבורי,אופיר 45,לשכת בריאות חיפה,"ד""ר קובלר לודמילה",04-8677871,,חיפה,טיפול במשתמשים בסמים אמבו,חיפה,37606
,,מרכז לטיפול תרופתי ממושך מתדון אשדוד,ציבורי,"ההשכלה ,9 אזור תעשייה הצפוני",לשכת בריאות אשקלון,"ד""ר שיידווסר ויקטוריה",08-8528007,,אשקלון,טיפול במשתמשים בסמים אמבו,אשדוד,37604
,,מרכז לטיפול תרופתי ממושך סובוטקס - נצרת,ציבורי,צומת אלחאנוק 25/6000,לשכת בריאות נצרת,"ד""ר פופקו איגור",04-6463972,04-6566210,יזרעאל,טיפול במשתמשים בסמים אמבו,נצרת,37608
32.5299403,35.1500059,מרכז מתדון אום אל פחם,ציבורי,"שכונת אלבאטן, ת.ד. 575",לשכת בריאות חדרה,"ד""ר פופקו איגור",04-6310896,,חדרה,טיפול במשתמשים בסמים אמבו,אם אל פחם,37607
31.2456289,34.8080573,מרכז סלע ב' - מרכז לטיפול תרופתי ממושך - מתדון,ציבורי,פנחס החוצב 10,לשכת בריאות באר שבע,"ד""ר דחיס מרינה",08-6612667,,באר שבע,טיפול במשתמשים בסמים אמבו,באר שבע,37602
31.7935686,34.6405878,מרפאה לטיפול בהתמכרויות - אשדוד,פרטי,הרצל 1,לשכת בריאות אשקלון,"ד""ר רדמן אולגה",054-3432493,,אשקלון,טיפול במשתמשים בסמים אמבו,אשדוד,37713
32.7776266,35.010743,מרפאה לטיפול בהתמכרויות - חיפה,פרטי,דובנוב 26,לשכת בריאות חיפה,"ד""ר רדמן אולגה",054-3432493,,חיפה,טיפול במשתמשים בסמים אמבו,חיפה,37719
32.0782204,34.7913149,"מרפאת ד""ר מרים ושלדון אדלסון-למחקר וטיפול בנפגעי סמים לטיפול",ציבורי,הנרייטה סולד 1,לשכת בריאות תל אביב-יפו,פרופ' שרייבר שאול,03-6973226,,תל-אביב,טיפול במשתמשים בסמים אמבו,תל אביב-יפו,37601
32.0822334,34.7719441,"מרפאת היבטים בע""מ",פרטי,גורדון 21,לשכת בריאות תל אביב-יפו,"ד""ר מרצבסקי סרחיו אדוארד",03-6851551,,תל-אביב,טיפול במשתמשים בסמים אמבו,תל אביב-יפו,37706
32.2821977,34.8648715,מרפאת נס,פרטי,יד חרוצים 19,לשכת בריאות נתניה,"ד""ר חלד לודמילה",0506242897,,השרון,טיפול במשתמשים בסמים אמבו,נתניה,37707
32.1735315,34.8932138,צומת,פרטי,דרך השרון 5,לשכת בריאות פתח תקווה,"ד""ר רזניק ויקטור",050-5258294,09-7412112,פתח תקווה,טיפול במשתמשים בסמים אמבו,כפר סבא,37705
32.0617154,34.7805,צור אביב מרכז לטיפול תרופתי ארוך טווח,ציבורי,הרכבת 36,לשכת בריאות תל אביב-יפו,"ד""ר בלקובסקי סווטלנה",03-6816359,,תל-אביב,טיפול במשתמשים בסמים אמבו,תל אביב-יפו,37610
32.9225885,35.3029047,קליניקה פאיה לטיפול אמבולטורי בנפגעי סמים,פרטי,החרושת 5,לשכת בריאות עכו,"ד""ר גורביץ' יעקב",054-6595803,04-9580553,עכו,טיפול במשתמשים בסמים אמבו,כרמיאל,37711
32.0369394,34.8988361,"אישפוזית לנשים ""לצידך""",ציבורי,בן גוריון 53,לשכת בריאות פתח תקווה,"ד""ר ירוסלבסקי איזבלה",03-6125115,,פתח תקווה,טיפול במשתמשים בסמים אשפו,יהוד,15630
,,אלה,ציבורי,גבעת שמש 815 ד.נ. שמשון,לשכת בריאות ירושלים,"ד""ר לוין קטיה רות",07-32150462,,ירושלים,טיפול במשתמשים בסמים אשפו,גבעת שמש,15628
31.8092064,34.66556610000001,"אשפוזית ""דולפין"" אשדוד",ציבורי,העבודה 61,לשכת בריאות אשקלון,"ד""ר רוזנברג עודד",08-86229647,,אשקלון,טיפול במשתמשים בסמים אשפו,אשדוד,15621
31.9568081,34.880821,בית אביב,ציבורי,מיכה רייסר 8,לשכת בריאות רמלה,"ד""ר צרניאק איזולד",08-6843011,,רמלה,טיפול במשתמשים בסמים אשפו,לוד,15625
32.8028495,35.0842739,בית חם - מרכז גמילה ושיקום,פרטי,שטנד 1,לשכת בריאות חיפה,"ד""ר מאידניק יורי",04-8438480,,חיפה,טיפול במשתמשים בסמים אשפו,קרית אתא,15707
32.2003972,34.8254865,בית לחיים - צעד לשחר - קרית שלמה,פרטי,"כפר חרוצים, ת.ד. 168",לשכת בריאות נתניה,מר אפשטיין רועי,09-7415982,,השרון,טיפול במשתמשים בסמים אשפו,בני ציון,16707
32.2003972,34.8254865,בית לחיים - צעד לשחר - קרית שלמה,פרטי,"כפר חרוצים, ת.ד. 168",לשכת בריאות נתניה,מר אפשטיין רועי,09-7415982,,השרון,טיפול במשתמשים בסמים אשפו,בני ציון,16707
31.2482039,34.756553,בראשית,פרטי,יעקב אורלנד 7,לשכת בריאות באר שבע,"ד""ר בבושקין יבגני",0506-265050,,באר שבע,טיפול במשתמשים בסמים אשפו,באר שבע,15714
31.9731065,34.8107458,ויקטוריה-אשפוזית לגמילה משימוש לרעה או התמכרות לאלכוהול וחומ,ציבורי,בנימין שמוטקין 6,לשכת בריאות רחובות,"ד""ר בלקובסקי סווטלנה",03-9690995,,רחובות,טיפול במשתמשים בסמים אשפו,ראשון לציון,15631
32.219839,34.868378,"יחידת קלט ומיון - בי""ח קרית שלמה",פרטי,ת.ד. 168,לשכת בריאות נתניה,גב' שגב מאיה,09-7415983,,השרון,טיפול במשתמשים בסמים אשפו,בני ציון,16709
,,כפר איזון - בחזרה למסלול,ציבורי,"קיבוץ שדות ים, ד.נ. מנשה",לשכת בריאות חדרה,גב' בן אפרים רונית,04-6100992,,חדרה,טיפול במשתמשים בסמים אשפו,שדות ים,16614
32.1760592,34.8203262,"מטריקס רילואוד בע""מ",פרטי,דב הוז 40,לשכת בריאות תל אביב-יפו,מר קארו אייל,077-5606159,,תל-אביב,טיפול במשתמשים בסמים אשפו,הרצליה,16706
31.616649,34.756676,מעבר קליניק,פרטי,יהושפט 14,לשכת בריאות אשקלון,"ד""ר גולין משה",077-7010717,,אשקלון,טיפול במשתמשים בסמים אשפו,קרית גת,15718
32.4487556,34.9086055,מרכז אבחון טיפול ושיקום דרי רחוב חדרה,ציבורי,"אהרונוביץ ,17 נווה חיים",לשכת בריאות חדרה,גב' מירי שעיר,04-6344274,,חדרה,טיפול במשתמשים בסמים אשפו,חדרה,16616
32.852247,35.201315,מרכז אשפוז טמרה,ציבורי,"כפר טמרה, ת.ד. 3",לשכת בריאות עכו,"ד""ר מדווד מיכאיל",04-9944847,,עכו,טיפול במשתמשים בסמים אשפו,טמרה,15607
31.2689955,34.8135294,"מרכז לגמילה וטיפול בהתמכרויות ""יד הצלה"" ד""ר אנדריי אסטנקוב",פרטי,דב גרונר 5,לשכת בריאות באר שבע,"ד""ר אסטנקוב אנדריי",0544-741821,,באר שבע,טיפול במשתמשים בסמים אשפו,באר שבע,15717
32.08985,34.8500542,מרכז לטיפול ושיקום בהתמכרויות - ניקה ישראל,ציבורי,בירנבאום נתן 23 א,לשכת בריאות פתח תקווה,"ד""ר בורוכוב אלכסנדר",052-6963730,,פתח תקווה,טיפול במשתמשים בסמים אשפו,פתח תקוה,15629
,,"מרכז לשיקום נפגעי סמים ""עמותת נוה מלכישוע"" מבוגרים",ציבורי,ד.נ. גלבוע,לשכת בריאות עפולה,מר אברהם אלון,,,יזרעאל,טיפול במשתמשים בסמים אשפו,מלכישוע,16601
32.8504524,35.4048372,"עמותת ""הדרך"" - אשפוזית",ציבורי,אתר מקורות ת.ד. 537,לשכת בריאות טבריה,"ד""ר גורביץ' יעקב",04-9828810,,כנרת,טיפול במשתמשים בסמים אשפו,עילבון,15623
,,עמותת נווה מלכישוע - נוער,ציבורי,ד.נ גלבוע,לשכת בריאות עפולה,"ד""ר פרץ נחמה גילה",04-6488222,,יזרעאל,טיפול במשתמשים בסמים אשפו,מלכישוע,15626
,,פניקס 1 - המרכז לגמילה מסמים,ציבורי,דרבלה 4 ב,לשכת בריאות רחובות,"ד""ר שיינין ליוניד",03-7169180,03-7169180,רחובות,טיפול במשתמשים בסמים אשפו,ראשון לציון,15624
31.9486972,34.8138198,פניקס 2 מרכז טיפולי ושיקומי להתמכרויות,ציבורי,שבטי ישראל 29,לשכת בריאות רחובות,מר אבישר ירון,03-6708556,,רחובות,טיפול במשתמשים בסמים אשפו,ראשון לציון,16625
32.3489802,34.8626133,צעד אחר צעד,ציבורי,החרוב 11,לשכת בריאות נתניה,גב' סרברניק חי גלית,077-7897404,,השרון,טיפול במשתמשים בסמים אשפו,נתניה,16624
32.512473,34.9223822,צעדים אחרת,פרטי,העצמאות 34,לשכת בריאות חדרה,"ד""ר פשיניאן ארטאשז",04-6942434,,חדרה,טיפול במשתמשים בסמים אשפו,אור עקיבא,15715
32.246545,34.999572,"קהילה טיפולית ""אלפטאם""",ציבורי,אזור התעשייה ת.ד. 61,לשכת בריאות נתניה,מר יחיא איהאב,09-7994628,,השרון,טיפול במשתמשים בסמים אשפו,טיבה,16610
31.0044374,34.77038940000001,קהילה טיפולית רוח מדבר,ציבורי,"מועצה מקומית רמת נגב, ד.נ. חלוצה",לשכת בריאות באר שבע,גב' זיו לימור,08-6508000,,באר שבע,טיפול במשתמשים בסמים אשפו,באר שבע,16622
,,קהילת אילנות (יח' בוגרים ושילוב) - עמותת בית אור אביבה,ציבורי,"עמותת בית אור אביבה, ד.נ. לב השרון",לשכת בריאות נתניה,גב' כהן מירה,09-8997441,,השרון,טיפול במשתמשים בסמים אשפו,נתניה,16604
,,קהילת אילנות (יח' בוגרים ושילוב) - עמותת בית אור אביבה,ציבורי,"עמותת בית אור אביבה, ד.נ. לב השרון",לשכת בריאות נתניה,גב' כהן מירה,09-8997441,,השרון,טיפול במשתמשים בסמים אשפו,נתניה,16604
32.2343696,34.8621579,קרית שלמה - מרכז צעדים,פרטי,אתר בית חולים קרית שלמה ת.ד. 168,לשכת בריאות נתניה,גב' אורית וקנין,09-7415982,,השרון,טיפול במשתמשים בסמים אשפו,בני ציון,16702
,,רטורנו מבוגרים,ציבורי,גבעת שמש 815 ד.נ. שמשון,לשכת בריאות ירושלים,מר חדד חי,02-9998244,,ירושלים,טיפול במשתמשים בסמים אשפו,גבעת שמש,16618
,,רטורנו נוער,ציבורי,גבעת שמש 815 ד.נ. שמשון,לשכת בריאות ירושלים,מר ניר אורן,02-9998244,,ירושלים,טיפול במשתמשים בסמים אשפו,גבעת שמש,16615
32.2343696,34.8621579,תכנים יחידה לטיפול בתחלואה כפולה נפשית,פרטי,אתר בית חולים קרית שלמה ת.ד. 168,לשכת בריאות נתניה,גב' אורית וקנין ליפשיץ,09-7415982,0577377597,השרון,טיפול במשתמשים בסמים אשפו,בני ציון,16705
32.0285208,34.7481314,א.פ.ק בת ים,פרטי,ברדיצ'ב 9,לשכת בריאות תל אביב-יפו,פרופ' שורץ דורון,03-5089665,03-5089667,תל-אביב,טיפול יום דיאליזה בקהילה,בת ים,33742
31.9221915,34.7940766,א.פ.ק נאות המושבה נס ציונה,פרטי,הפטיש 6,לשכת בריאות רחובות,"ד""ר מרדוכוביץ גבריאל",,,רחובות,טיפול יום דיאליזה בקהילה,נס ציונה,33750
